FMT,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
GPS, 36698132, 0, 3, 221184399, 2252, 18, 0.64, 52.5259575, 13.3143373, 63.68, 0.0527731, 9.819301, -0.053, 0, 1
GPS, 36898159, 0, 3, 221184599, 2252, 18, 0.64, 52.5259575, 13.3143373, 63.67, 0.01878829, 25.20112, -0.062, 0, 1
GPS, 37098182, 0, 3, 221184799, 2252, 18, 0.64, 52.5259574, 13.3143373, 63.66, 0.01486607, 70.34617, -0.085, 0, 1
GPS, 37298149, 0, 3, 221184999, 2252, 18, 0.64, 52.5259574, 13.3143373, 63.66, 0.02236068, 349.6952, 0.042, 0, 1
GPS, 37498180, 0, 3, 221185199, 2252, 18, 0.64, 52.5259573, 13.3143374, 63.64, 0.02193171, 65.77225, -0.034, 0, 1
GPS, 37698257, 0, 3, 221185399, 2252, 18, 0.64, 52.5259573, 13.3143374, 63.63, 0.032, 0, 0.009000001, 0, 1
GPS, 37898157, 0, 3, 221185599, 2252, 18, 0.64, 52.5259572, 13.3143374, 63.63, 0.01523155, 293.1986, -0.045, 0, 1
GPS, 38098164, 0, 3, 221185799, 2252, 18, 0.64, 52.5259572, 13.3143374, 63.63, 0.03622155, 6.340191, -0.011, 0, 1
GPS, 38298204, 0, 3, 221185999, 2252, 18, 0.64, 52.5259572, 13.3143373, 63.61, 0.01969772, 23.96249, -0.096, 0, 1
GPS, 38498240, 0, 3, 221186199, 2252, 18, 0.64, 52.5259572, 13.3143373, 63.61, 0.009848858, 203.9625, 0, 0, 1
GPS, 38698203, 0, 3, 221186399, 2252, 18, 0.64, 52.5259571, 13.3143374, 63.6, 0.01077033, 158.1986, 0.064, 0, 1
GPS, 38898153, 0, 3, 221186599, 2252, 18, 0.64, 52.525957, 13.3143373, 63.58, 0.003162278, 341.5651, -0.104, 0, 1
GPS, 39098181, 0, 3, 221186799, 2252, 18, 0.64, 52.525957, 13.3143373, 63.58, 0.002236068, 153.435, 0.035, 0, 1
GPS, 39298213, 0, 3, 221186999, 2252, 18, 0.64, 52.525957, 13.3143373, 63.57, 0.009219544, 229.3987, 0.064, 0, 1
GPS, 39498276, 0, 3, 221187199, 2252, 18, 0.64, 52.5259569, 13.3143373, 63.56, 0.03157531, 349.0459, -0.119, 0, 1
GPS, 39698166, 0, 3, 221187399, 2252, 18, 0.64, 52.5259569, 13.3143373, 63.57, 0.027313, 113.7495, 0.02, 0, 1
GPS, 39898161, 0, 3, 221187599, 2252, 18, 0.64, 52.5259568, 13.3143374, 63.56, 0.03560899, 128.1572, -0.052, 0, 1
GPS, 40098206, 0, 3, 221187799, 2252, 18, 0.64, 52.5259568, 13.3143375, 63.56, 0.0425441, 29.57784, -0.11, 0, 1
GPS, 40298173, 0, 3, 221187999, 2252, 18, 0.64, 52.5259568, 13.3143375, 63.56, 0.008544004, 339.444, -0.039, 0, 1
GPS, 40498165, 0, 3, 221188199, 2252, 18, 0.64, 52.5259568, 13.3143375, 63.55, 0.006708204, 63.43495, -0.046, 0, 1
GPS, 40698152, 0, 3, 221188399, 2252, 18, 0.64, 52.5259567, 13.3143375, 63.54, 0.01252996, 208.6105, -0.014, 0, 1
GPS, 40898136, 0, 3, 221188599, 2252, 18, 0.64, 52.5259566, 13.3143375, 63.54, 0.03465545, 46.16914, -0.119, 0, 1
GPS, 41098169, 0, 3, 221188799, 2252, 18, 0.64, 52.5259566, 13.3143375, 63.56, 0.008062258, 262.875, -0.086, 0, 1
GPS, 41298228, 0, 3, 221188999, 2252, 18, 0.64, 52.5259566, 13.3143375, 63.55, 0.02969849, 45, -0.033, 0, 1
GPS, 41498128, 0, 3, 221189199, 2252, 18, 0.64, 52.5259565, 13.3143375, 63.54, 0.01780449, 128.1572, -0.098, 0, 1
GPS, 41698193, 0, 3, 221189399, 2252, 18, 0.64, 52.5259565, 13.3143376, 63.56, 0.02941088, 144.6888, -0.017, 0, 1
GPS, 41898163, 0, 3, 221189599, 2252, 18, 0.64, 52.5259564, 13.3143375, 63.56, 0.03312099, 298.8866, -0.11, 0, 1
GPS, 42098189, 0, 3, 221189799, 2252, 18, 0.64, 52.5259564, 13.3143375, 63.57, 0.001414214, 225, -0.016, 0, 1
GPS, 42298163, 0, 3, 221189999, 2252, 18, 0.64, 52.5259564, 13.3143375, 63.57, 0.02024846, 327.0948, -0.014, 0, 1
GPS, 42498261, 0, 3, 221190199, 2252, 18, 0.64, 52.5259564, 13.3143375, 63.58, 0.01118034, 63.43495, -0.072, 0, 1
GPS, 42698201, 0, 3, 221190399, 2252, 18, 0.64, 52.5259564, 13.3143375, 63.58, 0.002236068, 63.43495, 0.033, 0, 1
GPS, 42898151, 0, 3, 221190599, 2252, 18, 0.64, 52.5259564, 13.3143375, 63.58, 0.04561798, 243.9967, 0.031, 0, 1
GPS, 43098236, 0, 3, 221190799, 2252, 18, 0.64, 52.5259564, 13.3143374, 63.57, 0.01208305, 204.444, -0.09200001, 0, 1
